	Source	Target	Weight	Type
3359	Vitez_A	Vitez_A	1	Undirected
3357	Aslanturk_O	Sever_H	1	Undirected
3356	Aiden_A	Nowak_M	1	Undirected
4359	Lange_K	Sangtae_A	1	Undirected
4323	Flannery_D	Flannery_D	1	Undirected
769	Geetha_T	Mala_T	1	Undirected
3930	Larson_W	Rencher_A	1	Undirected
4026	Billerbeck_B	Lester_N	1	Undirected
4024	Lopez_C	Verine_B	1	Undirected
4023	Chaudhuri_P	Lushkov_A	1	Undirected
4022	Chow_R	Shi_E	1	Undirected
4021	Hagenauer_J	Hanus_P	1	Undirected
4020	Dexter_J	Lopez_J	1	Undirected
4018	Burgon_G	Burgon_G	1	Undirected
4017	Dershowitz_I	Koppel_M	1	Undirected
4016	Ailisto_H	Vildjiounaite_E	1	Undirected
4015	Klaussner_C	Nerbonne_J	1	Undirected
4014	Cutting_D	Sibun_P	1	Undirected
3973	Abbot_D	Allison_A	1	Undirected
3971	Camtepe_A	Rokach_L	1	Undirected
3895	Dogan_R	Névéol_A	1	Undirected
3915	Hulle_D	Kestemont_M	1	Undirected
4027	Finn_S	Médard_M	1	Undirected
4028	Pravia_M	Wickramarathne_T	1	Undirected
4029	Carrasco-Ochoa_J	García-Hernández_R	1	Undirected
4039	Vampiew_P	Yearwood_J	1	Undirected
4045	Liakata_M	Soldatova_L	1	Undirected
4044	Quan_S	Zhan_B	1	Undirected
4043	Brunet_É	Muller_C	1	Undirected
4042	Milward_D	Pinkal_M	1	Undirected
4041	Hanbury_A	Piroi_F	1	Undirected
4040	Détrie_C	Verine_B	1	Undirected
4038	Jones_L	Jones_L	1	Undirected
4031	Yampolskiy_R	Yampolskiy_R	1	Undirected
4037	Hada_Y	Sawada_K	1	Undirected
4036	Chiu_D	Jain_R	1	Undirected
4035	Van-Sterkenburg_P	Van-Sterkenburg_P	1	Undirected
4034	Bennett_W	Bennett_W	1	Undirected
4033	Bhattacharya_K	James_R	1	Undirected
4032	Osborne_M	Petrović_S	1	Undirected
3931	Calix_K	Westcott_S	1	Undirected
3928	Goy-Blanquet_D	Witmore_M	1	Undirected
3475	Orwant_J	The-Google-Books-Team	1	Undirected
3927	Slater_E	Slater_E	1	Undirected
3905	Hotho_A	Jannidis_F	1	Undirected
3904	Belak_B	Radman-Pesa_A	1	Undirected
3903	Hoiberg_D	Shen_Y	1	Undirected
3902	Pir_P	Young_M	1	Undirected
3901	Peskin_B	Weber_F	1	Undirected
3900	Gray_M	Veres_A	1	Undirected
3897	Kumar_S	Sim_T	1	Undirected
3896	Kay_M	Roscheisen_M	1	Undirected
3932	Krogh_A	Palmer_R	1	Undirected
3934	Alphonse_E	Heitz_T	1	Undirected
3935	Soboroff_I	Soboroff_I	1	Undirected
