	Id	Weight	Label
1714	Gellatly_A	1	Gellatly_A
1713	Mishra_T	1	Mishra_T
1711	Ormsby_J	1	Ormsby_J
1694	Fujimoto_J	1	Fujimoto_J
1695	Genkin_A	1	Genkin_A
1696	Harper_D	1	Harper_D
1697	Mervis_C	1	Mervis_C
1766	Blanch_A	1	Blanch_A
1768	Croft_D	1	Croft_D
1614	Ly-Gagnon_D	1	Ly-Gagnon_D
1644	Guzmán-Cabrera_R	1	Guzmán-Cabrera_R
2879	Aldridge_W	1	Aldridge_W
2878	Katz_S	1	Katz_S
1636	Deploige_J	1	Deploige_J
1637	Gokhale_A	1	Gokhale_A
1638	Oppenheim_R	1	Oppenheim_R
2877	Dorr_B	1	Dorr_B
2876	Li_Q	1	Li_Q
1633	Clark_T	1	Clark_T
1641	Ailisto_H	1	Ailisto_H
1643	Wright_H	1	Wright_H
2873	Saric_M	1	Saric_M
1691	Spracklin_L	1	Spracklin_L
1646	Joyce_D	1	Joyce_D
1647	Markantonatou_S	1	Markantonatou_S
1648	McOwan_P	1	McOwan_P
1649	Rondale_J	1	Rondale_J
2875	Welsh_A	1	Welsh_A
1650	Chretien_C	1	Chretien_C
1632	Etzion-Rosenberg_N	1	Etzion-Rosenberg_N
1630	Decary_M	1	Decary_M
1612	Jain_A	1	Jain_A
1613	Stevens_S	1	Stevens_S
2865	Hoy_C	1	Hoy_C
2864	Jarvelin_K	1	Jarvelin_K
1769	Dejima_K	1	Dejima_K
1740	Moïse_C	1	Moïse_C
1770	Roscheisen_M	1	Roscheisen_M
1771	Thomas_S	1	Thomas_S
1764	Musilova_V	1	Musilova_V
1693	Schall_S	1	Schall_S
1754	Azé_J	1	Azé_J
1752	Stefanova-Spassova_M	1	Stefanova-Spassova_M
2853	Halliday_M	1	Halliday_M
1736	Hinskens_F	1	Hinskens_F
1738	Vampiew_P	1	Vampiew_P
2851	Gerwig_G	1	Gerwig_G
1741	Lupu_M	1	Lupu_M
1744	Finn_S	1	Finn_S
1742	Yien_H	1	Yien_H
1753	Chall_J	1	Chall_J
1743	Haverkort_M	1	Haverkort_M
1745	Melnikov_V	1	Melnikov_V
1746	Sitthi-Amorn_C	1	Sitthi-Amorn_C
1747	Waltman_F	1	Waltman_F
2850	Coufal_C	1	Coufal_C
2849	Quan_S	1	Quan_S
1750	Salim_N	1	Salim_N
1751	McNeil_D	1	McNeil_D
1921	Houvardas_J	1	Houvardas_J
1929	Lundh_T	1	Lundh_T
1931	Gennadyevich_S	1	Gennadyevich_S
1377	Kohavi_R	1	Kohavi_R
1367	Broeders_A	1	Broeders_A
1368	Benzécri_J	1	Benzécri_J
1369	Conrath_D	1	Conrath_D
1370	Ebrahimpour_M	1	Ebrahimpour_M
1371	Zheng_N	1	Zheng_N
1401	Lieberman-Aiden_E	1	Lieberman-Aiden_E
1372	Francis_W	1	Francis_W
2966	Fox_B	1	Fox_B
1375	Rasmussen_E	1	Rasmussen_E
1376	Mickey_M	1	Mickey_M
1378	Lincoll_D	1	Lincoll_D
1365	Barras_C	1	Barras_C
1379	Baker_J	1	Baker_J
1380	Kondratov_A	1	Kondratov_A
1373	Beers_Y	1	Beers_Y
1402	Grayston_K	1	Grayston_K
1403	Rique-JR_A	1	Rique-JR_A
1404	Hoenen_A	1	Hoenen_A
1425	King_M	1	King_M
2949	Kroft_A	1	Kroft_A
1427	Dolnick_E	1	Dolnick_E
1428	Naranan_S	1	Naranan_S
2968	Pino_C	1	Pino_C
2965	Wilson_T	1	Wilson_T
1430	Paolino_L	1	Paolino_L
1391	Atabakhsh_H	1	Atabakhsh_H
1833	Baeza-Yates_R	1	Baeza-Yates_R
1826	Zhang_Q	1	Zhang_Q
1938	Ngadi_A	1	Ngadi_A
1610	Trebbi_F	1	Trebbi_F
